Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
14701,-0.2654,0.00475,0.0365,-0.2326,1.3653,0.0727431,0.049799681,0.934648181,0.068948487,0.052170926
14801,-0.2291,0.02,0.0298,-0.2285,0.5889,0.030338648,0.017543415,0.340516132,0.141449103,-0.094522454
14901,-0.3051,0.0594,0.0252,-0.2554,1.2714,0.100126921,0.032058869,0.407087874,0.243652346,0.019686384
15001,-0.319,0.014,0.0249,-0.2508,0.4994,0.020230236,0.012426626,0.306754159,0.118425195,-0.19374285
15101,-0.3265,0.0214,0.0152,-0.2368,1.0579,0.038352167,0.016035791,0.442330621,0.146245782,-0.076060674
15201,-0.3475,0.0206,0.0249,-0.2429,0.5653,0.028544526,0.014064816,0.27853218,0.143505946,-0.210135187
15301,-0.3499,0.0407,0.0232,-0.2946,0.3491,0.043499571,0.008106714,0.065062456,0.201666511,-0.247030634
15401,-0.3141,0.00877,0.0287,-0.2101,0.9072,0.032420138,0.026067925,0.729447956,0.093655404,-0.123529572
15501,-0.3895,0.0666,0.0274,-0.2781,1.0704,0.097906817,0.029286256,0.320172288,0.257991797,-0.0918973
15601,-0.2818,0.0104,0.0348,-0.2826,0.9435,0.041404353,0.032816919,0.747839109,0.102179051,-0.015182631
15701,-0.2647,0.0234,0.0297,-0.2212,0.6026,0.034152121,0.017878458,0.315479525,0.152898089,-0.131386812
15801,-0.2925,0.0159,0.0248,-0.2589,0.451,0.020956686,0.011167037,0.240294749,0.126178067,-0.175687066
15901,-0.2054,0.0344,0.0288,-0.2147,0.9055,0.058030433,0.026106931,0.407386499,0.185444381,-0.0109956
16001,-0.353,0.0149,0.0137,-0.2341,1.3343,0.039276232,0.01829479,0.62151019,0.121924786,-0.040601266
16101,-0.2814,0.0289,0.0212,-0.2434,1.2679,0.062978413,0.026898762,0.541542103,0.169920425,0.027243538
16201,-0.3104,0.0393,0.0202,-0.2673,0.501,0.044410702,0.010103334,0.113965704,0.198366844,-0.176476652
16301,-0.2033,0.02,0.0223,-0.2517,1.2832,0.056812876,0.028653863,0.647199236,0.141575514,0.119636491
16401,-0.2413,0.0413,0.0127,-0.225,1.3312,0.063773985,0.016845476,0.351616946,0.203346923,0.058097476
16501,-0.2829,0.0227,0.0222,-0.2752,0.8433,0.038470133,0.018725672,0.410464344,0.150597194,-0.050807415
16601,-0.1847,0.00866,0.017,-0.2372,1.4689,0.045325538,0.024963414,0.8090191,0.093039304,0.163709933
16701,-0.2905,0.00381,0.0338,-0.2617,0.9104,0.031786217,0.030731988,0.880231565,0.061700773,-0.052246847
16801,-0.3175,0.0224,0.016,-0.2307,0.8737,0.034604574,0.013965102,0.352611479,0.149674995,-0.115957682
16901,-0.2478,0.0289,0.0336,-0.2198,1.3027,0.085889307,0.043767156,0.663824265,0.16992322,0.038584076
17001,-0.2546,0.00772,0.0243,-0.2252,1.0547,0.034706295,0.025584612,0.777467721,0.087882142,-0.017050629
17101,-0.3358,0.0185,0.0224,-0.2921,0.9443,0.038481819,0.021112488,0.518087166,0.136179596,-0.059954266
17201,-0.3329,0.0174,0.0181,-0.2967,1.0954,0.039119673,0.019821418,0.555028351,0.131936142,-0.007938368
17301,-0.2601,0.0187,0.0222,-0.2463,0.7466,0.031059188,0.016543333,0.397647235,0.136779339,-0.076250757
17401,-0.3518,0.0226,0.0332,-0.2664,0.1154,0.023090918,0.003831905,0.019145881,0.150495256,-0.321018325
17501,-0.36,0.016,0.032,-0.2852,0.5512,0.02567901,0.01763651,0.3785654,0.126324285,-0.202851757
17601,-0.2849,0.0204,0.0161,-0.2335,1.1004,0.039949377,0.017739184,0.488623819,0.142930611,-0.027973554
17701,-0.2413,0.0162,0.013,-0.2466,0.8817,0.026287299,0.01148879,0.385333594,0.127113806,-0.023883513
17801,-0.336,0.0218,0.0213,-0.278,1.2992,0.057820543,0.027711122,0.622653494,0.14771046,0.02511289
17901,-0.3585,0.0226,0.0185,-0.2928,0.867,0.036500073,0.016008314,0.380233257,0.150404558,-0.10461555
18001,-0.5946,0.0728,0.0297,-0.2694,0.9885,0.101849182,0.029399233,0.285324988,0.269794487,-0.328312457
18101,-0.3009,0.019,0.0159,-0.2682,0.9803,0.03434004,0.01562413,0.446023233,0.13792601,-0.037989047
18201,-0.3069,0.022,0.0238,-0.3018,0.4931,0.02782609,0.011731174,0.207888504,0.148463347,-0.158088518
18301,-0.3858,0.0112,0.019,-0.2767,0.9614,0.028772147,0.018262634,0.610241069,0.105897126,-0.11975287
18401,-0.228,0.00938,0.0278,-0.2571,0.4433,0.014836562,0.012320027,0.368112701,0.096824765,-0.114030798
18501,-0.2857,0.00664,0.0194,-0.2552,0.9321,0.02346404,0.018046682,0.716904757,0.08150189,-0.047814209
18601,-0.2712,0.0342,0.018,-0.2341,0.7371,0.043951487,0.013251004,0.222227531,0.18488985,-0.098645738
18701,-0.2741,0.0112,0.0282,-0.2113,0.1172,0.011580171,0.003308007,0.03346814,0.105795106,-0.249320176
18801,-0.2385,0.0453,0.0089,-0.2398,0.6482,0.049000436,0.005767049,0.076285913,0.212749602,-0.083070223
18901,-0.2444,0.0166,0.0187,-0.2477,0.8221,0.029165284,0.015333665,0.432220839,0.128683489,-0.040808767
19001,-0.2917,0.0249,0.0306,-0.1887,1.263,0.073686452,0.038605743,0.661724422,0.157880737,-0.053397783
19101,-0.3228,0.0223,0.0311,-0.2367,0.8605,0.045376463,0.026791163,0.508067807,0.149405967,-0.119128927
19201,-0.2421,0.0303,0.0348,-0.2361,0.7286,0.048770189,0.025345149,0.378628061,0.174081668,-0.070143985
19301,-0.4198,0.1139,0.0242,-0.2748,1.3206,0.156066379,0.031900595,0.269932563,0.337548487,-0.056872144
19401,-0.304,0.0141,0.0175,-0.2757,1.2713,0.042381039,0.022281872,0.668393732,0.118548801,0.046545267
19501,-0.312,0.0105,0.0264,-0.2426,0.5879,0.019632998,0.015500677,0.464167976,0.102566998,-0.169407544
19601,-0.3078,0.0105,0.0126,-0.2736,0.00633,0.010475378,0.000080108,4.84275E-05,0.102346814,-0.306029397
19701,-0.4198,0.0103,0.0249,-0.3202,1.0111,0.035756406,0.025174087,0.71183205,0.101507883,-0.09599071
